rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
451,TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,37.67,36.12,4.29,16891242,6038750,2.8,False,generic_only,"Weekly Sector: Retail Up, Telecom Services Down - Moneylife",Moneylife
420,SIGNATURE,Signatureglobal (India) Ltd.,Realty,782.0,749.5,4.34,930802,415001,2.24,False,generic_only,SignatureGlobal India Ltd Faces Bearish Momentum Amid Technical Deterioration - Markets Mojo | The Realty Story Looks Strong. So Why are Stocks Falling - Realty Plus Magazine | Woodside's Ammonia Project Encounters Setbacks: Will Its Shares Maintain Their Green Advantage? - Bitget | Katie Price's husband Lee Andrews shares another AI-generated clip of himself 'shopping' in M&S despite being banned from leaving Dubai - Daily Mail,Markets Mojo | Realty Plus Magazine | Bitget | Daily Mail
