rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
446,TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,713.2,670.0,6.45,13553272,668250,20.28,True,catalyst,"Tata Sons IPO demand sparks 19% rally in these 2 stocks. Which one is a better play? - The Economic Times | Tata Investment Corporation Limited Schedules Board Meeting for April 21, 2026 to Consider FY26 Results and Dividend - scanx.trade | Tata Investment Corp Board Meeting April 21, 2026: FY26 Results, Dividend Decision - Whalesbook | Tata Investment Corporation Board Meeting Scheduled to Review Annual Financial Performance - InvestyWise",The Economic Times | scanx.trade | The Times of India | Whalesbook | InvestyWise
230,INOXINDIA,INOX India Ltd.,Capital Goods,1411.6,1308.0,7.92,1379554,193272,7.14,True,catalyst,"Buy Suzlon Energy, Inox Wind shares: Up to 62% upside targets; Q4 preview - MSN | TN AAAR Denies GST ITC on Land Lease U/S 17(5)(d) for Setting Up Plant and Machinery - SAG Infotech Official Tax Blog | Half Yearly Results, Half yearly Earnings for Dachepalli Publisher - The Economic Times",Markets Mojo | MSN | Markets Mojo | SAG Infotech Official Tax Blog | The Economic Times
338,NTPCGREEN,NTPC Green Energy Ltd.,Power,104.23,97.26,7.17,91182889,15014626,6.07,True,catalyst,"Why Suzlon, Inox Wind, NTPC Green may face earnings risk - 'Nightmare for wind industry' - MSN",Markets Mojo | MSN | SolarQuarter | Markets Mojo | The Economic Times
455,NIACL,The New India Assurance Company Ltd.,Financial Services,171.67,155.71,10.25,29343939,5109289,5.74,True,catalyst,"New India Assurance Responds to BSE Volume Movement Query with Regulatory Compliance Confirmation - scanx.trade | Half Yearly Results, Half yearly Earnings for Dachepalli Publisher - The Economic Times",Markets Mojo | scanx.trade | Markets Mojo | InvestyWise | The Economic Times
358,ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,1545.1,1438.9,7.38,1879985,464302,4.05,True,catalyst,"Karnataka govt clears Rs 4,600 crore JSW plant among 17 projects - Deccan Herald | Half Yearly Results, Half yearly Earnings for Dachepalli Publisher - The Economic Times",Markets Mojo | Moneycontrol.com | Deccan Herald | The Economic Times | FinancialContent
490,WELCORP,Welspun Corp Ltd.,Capital Goods,1005.5,961.8,4.54,1596527,516639,3.09,True,catalyst,"Windsor Machines Converts ₹40 Cr Warrants, Promoter Stake Rises to 9.52% - Whalesbook",Markets Mojo | Markets Mojo | Whalesbook
264,JSWENERGY,JSW Energy Ltd.,Power,509.6,488.85,4.24,8068921,3672641,2.2,True,catalyst,"Suzlon, BHEL, Adani Green, JSW Energy, Tata Power: Target prices - Brokerage hints at up to 57% gains; Q4 previews - MSN | Karnataka govt clears Rs 4,600 crore JSW plant among 17 projects - Deccan Herald",Construction World | MSN | Markets Mojo | Deccan Herald | MSN
457,THERMAX,Thermax Ltd.,Capital Goods,3870.8,3658.0,5.82,536932,265453,2.02,True,catalyst,"Half Yearly Results, Half yearly Earnings for Dachepalli Publisher - The Economic Times",The Economic Times | Dailyhunt
