rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
361,PCBL,PCBL Chemical Ltd.,Chemicals,319.05,293.75,8.61,55822753,2722035,20.51,True,catalyst,PCBL Chemical Limited Monitoring Agency Report Filed for Preferential Issue Warrants (Q3 FY26) - InvestyWise,scanx.trade | Markets Mojo | InvestyWise | Markets Mojo | Business Standard
278,JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,863.0,828.9,4.11,2502030,394167,6.35,True,catalyst,OneSource Specialty Pharma Secures Saudi Approval for Generic Ozempic in Partnership with Hikma - InvestyWise,Markets Mojo | Markets Mojo | InvestyWise | InvestyWise | TipRanks
403,SJVN,SJVN Ltd.,Power,77.38,72.8,6.29,26848886,4899738,5.48,True,catalyst,"Sjvn Q3 FY26 Results: Net Profit increases upto 50 percent, declares dividend Rs 1.15 - PSU Connect | SJVN Q3 net profit up nearly 51% to Rs 224 crore - Moneycontrol | SJVN’s consolidated Q3 profit rises on capacity additions, but 9-month earnings decline - PSU Watch | SJVN Limited Board Approves Q3 FY2025-26 Results and ₹1,000 Crore Fundraising via NCDs - InvestyWise",Markets Mojo | PSU Connect | Moneycontrol | PSU Watch | InvestyWise
261,JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,604.9,571.65,5.82,6675762,1266070,5.27,True,catalyst,"JK Tyre Q3 net profit more than triples to 2.09 billion rupees - Tyrepress | JK Tyre shares rise for 4th straight day to hit 52-week high, surge over 20% YTD; here’s why - Upstox | Earnings Update: Here's Why Analysts Just Lifted Their JK Tyre & Industries Limited (NSE:JKTYRE) Price Target To ₹547 - simplywall.st",motownindia.com | Tyrepress | Upstox | simplywall.st | Markets Mojo
291,KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,1324.6,1264.7,4.74,700199,196941,3.56,True,catalyst,"Kirloskar Oil Engines Q3: Net profit soars 56%, revenue up 29%; dividend announced - CNBC TV18 | Kirloskar Oil Engines Posts Strong Q3 Growth, Declares Interim Dividend - Whalesbook | Kirloskar Oil Engines Approves AED 3.2 Million Investment in Subsidiary KIME for Strategic Expansion - InvestyWise",Markets Mojo | CNBC TV18 | InvestyWise | Whalesbook | InvestyWise
496,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,15950.0,15220.0,4.8,43377,12585,3.45,True,catalyst,ZF Commercial Vehicle gains as Q3 PAT jumps 12% YoY to Rs 140 cr - Business Standard,Business Standard | The Economic Times | Moneycontrol | NDTV Profit | Business Standard
371,PFIZER,Pfizer Ltd.,Healthcare,5197.8,4944.8,5.12,141057,57214,2.47,True,catalyst,Can Pfizer's New & Acquired Drugs Offset Its Looming Patent Cliff? - Yahoo Finance Singapore,Markets Mojo | Insightace Analytic | Yahoo Finance Singapore | Investing.com India | Citeline News & Insights
433,SUPREMEIND,Supreme Industries Ltd.,Capital Goods,3849.4,3690.7,4.3,597854,296596,2.02,True,catalyst,"Siyaram Recycling stock jumps 5% after securing 3 orders from Supreme Industries and more - Trade Brains | Mukul Agrawal holds 10.10% stake: Brass billets manufacturer receives 3 orders worth Rs 2,40,07,359.60 in just 1 day - Dalal Street Investment Journal",Markets Mojo | Trade Brains | Moneycontrol | Dalal Street Investment Journal | Moneycontrol
