rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
464,TRENT,Trent Ltd.,Consumer Services,3526.0,3298.7,6.89,1835877,873651,2.1,False,generic_only,"Trent Ltd. Surges 6.76% to Day's High of Rs 3497.35 — Outperforms Sector by 3.43 Percentage Points - Markets Mojo | Trent Share Price: 5 reasons why Tata stock is in focus today - ET Now | Big bang for the buck likely for Trent, DMart on back of store additions in Q4FY26 - Fortune India | High-Beta Trent Ltd. Surges 4.5% at Open — Can Technical Momentum Hold? - Markets Mojo | Dmart Shares Surge In Trade Today — Can It Reach 4500 Mark? Check Technical View - NDTV Profit",Markets Mojo | ET Now | Fortune India | Markets Mojo | NDTV Profit
494,WOCKPHARMA,Wockhardt Ltd.,Healthcare,1265.0,1164.0,8.68,1322583,644805,2.05,False,generic_only,Wockhardt Ltd is Rated Strong Sell - Markets Mojo | Wockhardt Ltd Surges 8.0% to Day's High of Rs 1258.4 — Outperforms Sector by 5.38 Percentage Points - Markets Mojo | Wockhardt Ltd Valuation Shifts Signal Changing Market Sentiment - Markets Mojo,Markets Mojo | Markets Mojo | Markets Mojo
