rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
494,WOCKPHARMA,Wockhardt Ltd.,Healthcare,1197.2,1138.8,5.13,2213205,462313,4.79,False,generic_only,Wockhardt Ltd Falls to 52-Week Low of Rs 1130.55 as Sell-Off Deepens - Markets Mojo | Wockhardt Ltd is Rated Strong Sell - Markets Mojo | Stock market update: Nifty Bank index falls 0.3% - MSN,Markets Mojo | Markets Mojo | MSN
497,ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,75.96,71.15,6.76,27692927,9192033,3.01,False,generic_only,"Zee Entertainment Enterprises Ltd Hits 52-Week Low at Rs.74.62 - Markets Mojo | Zee Entertainment Enterprises Limited Schedules Group Investors' Meet for March 25, 2026 in Mumbai - scanx.trade | Zee Entertainment Enterprises Ltd. names Vivek Bhatia as Tamil Cluster sales head - IMPACT Magazine | Zee Entertainment appoints Vivek Bhatia as National Sales Head for Tamil Cluster - Indian Television Dot Com | Sanjoy Chatterjee appointed to head ZEEL’s East Market - PitchOnnet",Markets Mojo | scanx.trade | IMPACT Magazine | Indian Television Dot Com | PitchOnnet
394,RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,505.25,480.1,5.24,773355,301251,2.57,False,generic_only,Ramkrishna Forgings Ltd Hits Intraday Low Amid Price Pressure - Markets Mojo,Markets Mojo
285,KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,391.85,372.15,5.29,7261143,2959914,2.45,False,generic_only,"Kalyan Jewellers Sees Sharp Open Interest Surge Amidst Market Downturn - Markets Mojo | Kalyan Jewellers stock to buy? Motilal Oswal sees favorable risk-reward — check target price, upside - MSN | Kalyan Jewellers Opens 4% Higher Amid Mixed Technical Signals and High Volatility - Markets Mojo | Gold Rate Today (26 March 2026): IBJA Benchmark Gold Rates, Tanishq, Kalyan, Malabar, Joyalukkas 22K Prices - Oneindia | 22k gold rates rise today: Check 22K, 24K gold prices (March 25, 2026) on Tanishq, Kalyan Jewellers, Joyal - The Economic Times",Markets Mojo | MSN | Markets Mojo | Oneindia | The Economic Times
287,KAYNES,Kaynes Technology India Ltd.,Capital Goods,3717.9,3520.0,5.62,2874754,1197400,2.4,False,generic_only,"Kaynes Technology India Ltd Hits Intraday Low Amid Price Pressure - Markets Mojo | Top Gainers & Losers on March 25: PCBL Chemical, Reliance Power, Kaynes Tech, Indian Bank among top gainers - Mint | West Asia War pushes up real cost of India’s semiconductor plans - The Economic Times | Govt to Rejig PLI 2.0: 3 EMS Stocks to Watch Amid Rising GPU and Memory Prices - Equitymaster | Helium shock puts India’s semiconductor, PCB push at risk due to the Iran-Israel war - Moneycontrol.com",Markets Mojo | Mint | The Economic Times | Equitymaster | Moneycontrol.com
221,HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,177.09,169.49,4.48,7775524,3432244,2.27,False,generic_only,"How the Iran war could crush the U.S. housing recovery, and it's not just about mortgage rates - CNBC | 'We're being evicted from our flats for them to be used as temporary housing' - BBC | The world’s most unaffordable housing is not where you think - The Economist | 12% hike in allotment rates pushes up affordable housing costs in Gurgaon, Faridabad - The Times of India | The urban illusion - Telegraph India",CNBC | BBC | The Economist | The Times of India | Telegraph India
437,SYNGENE,Syngene International Ltd.,Healthcare,418.75,398.85,4.99,2746862,1363015,2.02,False,generic_only,"SBI, Dr Reddys Labs, NMDC, Syngene: How to trade these buzzing stocks - MSN | 7 stocks where MFs raised bets for 4 straight quarters now in a bear grip | Full list - Business Today",MSN | Business Today
325,MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,543.95,521.1,4.38,434036,216331,2.01,False,generic_only,Minda Corporation Ltd Downgraded to Sell Amid Technical Weakness and Valuation Concerns - Markets Mojo | Minda Share Price Target 2026: Nuvama cuts target but maintains BUY call for multibagger stock - Here's why - ET Now | Minda Corporation Ltd Forms Death Cross Signalling Potential Bearish Trend - Markets Mojo,Markets Mojo | ET Now | Markets Mojo
