rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
437,SYNGENE,Syngene International Ltd.,Healthcare,468.05,431.9,8.37,59274654,991995,59.75,True,catalyst,"Syngene International Q4 FY26: Revenue Grows 2%, PAT Declines 16% Before Exceptional Items - scanx.trade | Syngene International Announces Q4 Results; PAT Declines 19% to Rs 148 Crore, EBITDA Margin at 30.8% - Dalal Street Investment Journal",scanx.trade | People Matters - HR News | Dalal Street Investment Journal | The Economic Times | IndiaMedToday
347,NEWGEN,Newgen Software Technologies Ltd.,Information Technology,508.0,478.1,6.25,12685665,1267877,10.01,True,catalyst,"Newgen Software Board Approves FY26 Results with Rs 6 Dividend Recommendation - scanx.trade | Newgen Software Shares jump on positive results - - Enterprise Times | Newgen Software FY26 Revenue Rs 1,574 cr, Up 6% YoY with Strong SaaS Growth - scanx.trade",scanx.trade | MSN | Enterprise Times | Markets Mojo | scanx.trade
256,IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,1650.0,1560.0,5.77,1329919,421154,3.16,True,catalyst,"Pinetree Capital Announces Unaudited Financial Results for the Period Ended March 31, 2026 - marketscreener.com | IKS Healthcare Eyes $600 Mn TruBridge Acquisition, to Boost Healthcare Solutions - Digital Health News",MSN | marketscreener.com | Stock Titan | Digital Health News | Zee Business
