rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
219,HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,347.8,331.0,5.08,10467745,735266,14.24,True,catalyst,"RITES, Honasa Consumer, KEC International: Why these 3 stocks surged up to 11% today - MSN | Honasa Q4 Business Update: Mamaearth Boost Lifts Outlook; Goldman Sachs Raises Price Target - NDTV Profit | Honasa Consumer sees over 20% revenue growth in Q4 - The Financial Express",Markets Mojo | MSN | NDTV Profit | Upstox | The Financial Express
355,OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,40.4,36.32,11.23,786402928,121061071,6.5,True,catalyst,Ola Electric shares rise 71% from record low — What's behind the surge and what's next? - Business Today | Ola Electric Share Price Sees Consecutive Trading Gains Amid Milestone In Battery Innovation - NDTV Profit,Markets Mojo | MSN | India Today | Business Today | NDTV Profit
446,TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,671.1,637.45,5.28,2072516,536739,3.86,True,catalyst,"March AMFI Data: Equity mutual fund inflows soar 56% MoM to Rs 40,450 crore; flexicaps top charts - The Economic Times",scanx.trade | Whalesbook | Trade Brains | Markets Mojo | The Economic Times
