rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
263,JSWCEMENT,JSW Cement Ltd.,Construction Materials,137.99,127.99,7.81,41116895,861977,47.7,True,catalyst,JSW Cement Shares Up 7% In Trade After Multifold Growth In Q4 Profit - NDTV Profit | JSW Cement jumps 7% on strong Q4 beat; JM Financial sees 22% upside - Business Standard | JSW Cement shares gain 12% as Q4FY26 profit jumps to Rs 362 crore - The Economic Times,NDTV Profit | CNBC TV18 | MSN | Business Standard | The Economic Times
407,SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,161.46,154.74,4.34,120079677,15411476,7.79,True,catalyst,"Buy, Sell Or Hold: Samvardhana, Sammaan Capital, Swaraj Engines, Suryoday Small Finance Bank, Skipper — Ask Profit - NDTV Profit | Sammaan Capital shares rally 8% despite Rs 8,101 crore Q4 loss; here's why - MSN",NDTV Profit | MSN | The Economic Times | scanx.trade | Upstox
325,MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,574.65,533.6,7.69,657876,254445,2.59,True,catalyst,"Minda Corp Posts Highest-Ever Revenue of ₹6,185 Crore in FY26, PAT Up 40.3% - scanx.trade | Minda Corporation Q4 net profit jumps over 2x as revenue hits record ₹1,704 crore - CNBC TV18 | MINDACORP: Record FY26 revenue and profit growth, margin expansion, and strategic JV partnerships - TradingView | MINDACORP: Record FY26 revenue and profit growth, with improved margins and strong order book - TradingView",scanx.trade | CNBC TV18 | TradingView | TradingView | Markets Mojo
