rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
256,IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,1504.1,1431.0,5.11,3914727,209674,18.67,True,catalyst,"IKS Health Acquires TruBridge for $557M, Facing Fraud Probe - Whalesbook",MSN | financialexpress.com | Business Standard | Equitymaster | Whalesbook
472,UTIAMC,UTI Asset Management Company Ltd.,Financial Services,974.95,925.25,5.37,2105074,268753,7.83,True,catalyst,PPFAS Asset Management gets PFRDA approval to launch pension fund under NPS - MSN | NFO Alert: Tata Mutual Fund announces launch of Titanium Equity Long‑Short Fund - The Economic Times,Markets Mojo | MSN | The Economic Times | TradingView | Business Standard
462,TORNTPOWER,Torrent Power Ltd.,Power,1772.5,1699.6,4.29,2640800,706071,3.74,True,catalyst,Torrent Power Hits 52-Week High After Nabha Power Acquisition Approval - Whalesbook,Investment Guru India | Markets Mojo | Business Standard | Whalesbook | Trade Brains
485,VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,1112.05,1065.0,4.42,428259,130933,3.27,True,catalyst,Madras High Court Dismisses Fresh Plea Seeking ECI Probe Into Assets Declared By Vijay - NDTV Profit,Mint | The Times of India | NDTV Profit | MSN | Moneycontrol.com
429,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1733.5,1618.5,7.11,9606128,3727993,2.58,True,catalyst,"Sun Pharma to Acquire US-Listed Organon in $12 Billion Deal - Bloomberg.com | Sun Pharma to acquire U.S. firm Organon in $11.75 billion deal - The Hindu | Sun Pharma to acquire US-based Organon & Co at USD 11.75 billion, among largest overseas buys by Indian firm - Telegraph India | Sun Pharma to acquire Organon & Co at USD 11.75 bn enterprise valuation - Metro Vaartha",Bloomberg.com | The Hindu | Fortune India | Telegraph India | Metro Vaartha
216,HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,628.0,588.5,6.71,13298013,5186166,2.56,True,catalyst,"6% Spike After Record Profit: Is Hindustan Zinc Ltd headed for 24% upside or a sharp fall? - Zee Business | Hindustan Zinc shares jump 5.7%: Q4 results, FY26 performance explained - Upstox | Three key factors why shares of Hindustan Zinc surged over 7% on Monday - CNBC TV18 | Hindustan Zinc stock jumps 7% as CEO says demerger work may begin in FY27 - Moneycontrol.com",Zee Business | Markets Mojo | Upstox | CNBC TV18 | Moneycontrol.com
492,WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,995.7,952.0,4.59,788059,358823,2.2,True,catalyst,"AC makers, power stocks rise up 6% on demand surge amid severe heatwave - Business Standard",Business Standard | outlookbusiness.com | Business Standard | Zacks Investment Research
