rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
385,RRKABEL,R R Kabel Ltd.,Capital Goods,1775.2,1571.0,13.0,5777706,454656,12.71,True,catalyst,"RR Kabel eyes breakeven in electrical goods, strong capacity boost from ongoing capex - CNBC TV18 | RR Kabel Q4 FY26: Execution strong, but near-term rerating potential limited - Moneycontrol.com | R R Kabel climbs as Q4 PAT jumps 30.13% YoY - Business Standard | RR Kabel Posts Record Revenue, Rivals Lag, Valuation Risks Grow - Whalesbook",Markets Mojo | CNBC TV18 | Moneycontrol.com | Business Standard | Whalesbook
236,INDGN,Indegene Ltd.,Healthcare,533.35,501.0,6.46,1140181,271745,4.2,True,catalyst,"Indegene Shares In Focus As Motilal Oswal Hikes Target Price Post Inline Q4 Results — Check Potential Upside - NDTV Profit | Indegene shares in focus as Motilal Oswal hikes target price post inline Q4 results — check potential upside - MSN | Q4FY26 results tomorrow: Adani Power, Vedanta, Bajaj Finance, Waaree Energies among 50+ firms to report earnings on April 29 - MSN",NDTV Profit | Whalesbook | MSN | MSN | CNBC TV18
483,VEDL,Vedanta Ltd.,Metals & Mining,294.65,273.1,7.89,86279650,23490348,3.67,True,catalyst,"Vedanta Rating Reaffirmed, FIIs Boost Stake as Demerger Unfolds - Whalesbook | Vedanta shares rebound 6% today after ex-demerger drop; stock recovers post-adjustment losses - Moneycontrol.com",Whalesbook | Moneycontrol.com | Markets Mojo | BW Legal World | The Hindu
301,LAURUSLABS,Laurus Labs Ltd.,Healthcare,1166.4,1101.2,5.92,4720613,1617830,2.92,True,catalyst,"Laurus Labs Limited (NSE:LAURUSLABS) Goes Ex-Dividend Soon - simplywall.st | Laurus Labs Shares Surge 6% To Hit One-Year High As Brokerages Hike Target On Q4 Profit Beat - NDTV Profit | Laurus Labs rallies 6%, hits record high post Q4 results; brokerages upbeat - Business Standard",Markets Mojo | simplywall.st | NDTV Profit | Business Standard | Markets Mojo
212,HAL,Hindustan Aeronautics Ltd.,Capital Goods,4559.5,4330.0,5.3,2840978,1107983,2.56,True,catalyst,Hindustan Aeronautics soars 6%; what's driving this PSU defence stock? - Business Standard | HAL Board Meeting on May 14 to Review FY26 Audited Results - PSU Connect | Hindustan Aeronautics Limited Board Meeting Scheduled for Financial Results Review - InvestyWise,Markets Mojo | Business Standard | PSU Connect | Whalesbook | InvestyWise
