rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
467,TRITURBINE,Triveni Turbine Ltd.,Capital Goods,515.45,478.95,7.62,2702532,611071,4.42,False,generic_only,Triveni Turbine Ltd. Surges 7.31% to Day's High of Rs 514 — Outperforms Sector by 4.53 Percentage Points - Markets Mojo | Triveni Turbine Ltd. Upgraded to Hold by MarketsMOJO on Technical Improvements - Markets Mojo | Triveni Turbine Ltd. Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,Markets Mojo | Markets Mojo | Markets Mojo
325,MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,532.8,505.6,5.38,841271,357736,2.35,False,generic_only,Minda Corporation Ltd is Rated Sell - Markets Mojo,Markets Mojo
390,RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,3186.9,3054.0,4.35,1034273,448140,2.31,False,generic_only,"Radico Khaitan Ltd. Surges 6.14% to Day's High of Rs 3222.65 — Outperforms Sector by 3.09 Percentage Points - Markets Mojo | Radico Khaitan Ltd up for fifth session - Business Standard | Radico Turned ‘Indian Mystic’ Curiosity into Global Craving - spiritz.in | Sun TV Network Ltd up for fifth session - Business Standard | Radico Khaitan : Intimation of Board Meeting dated May 06, 2026 - marketscreener.com",Markets Mojo | Business Standard | spiritz.in | Business Standard | marketscreener.com
