rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
370,PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,293.1,280.0,4.68,20923538,2879481,7.27,True,catalyst,GAIL's LNG acquisition from Petronet cut to zero amid Strait of Hormuz restrictions - The Economic Times | GAIL Flags Complete LNG Supply Cut From Qatar Amid Iran War - NDTV Profit,Reuters | The Economic Times | NDTV Profit | Business Today | The Hans India
299,LT,Larsen & Toubro Ltd.,Construction,4062.1,3882.6,4.62,7635350,2330792,3.28,True,catalyst,"SENSEX surges 400 points, NIFTY50 reclaims 24,600 led by Reliance Industries, Larsen & Toubro - Upstox",Upstox | India Today | Moneycontrol.com | Business Today | BBC
341,NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,394.55,372.35,5.96,26380460,9545143,2.76,True,catalyst,"National Aluminium Company (NALCO) shares surge 14% in three sessions, here is why - Upstox | Hindalco shares surge nearly 7% on shutdown of aluminium smelter in Qatar - Upstox",Upstox | Upstox | Markets Mojo | Markets Mojo | Upstox
