rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
346,NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,16124.0,15003.0,7.47,208250,43214,4.82,False,generic_only,"Volumes spurt at Adani Ports & Special Economic Zone Ltd counter - Business Standard | Zee Business. . जैन सा'ब के GEMS... आज Tradeswift के संदीप जैन ने क्यों चुना Vintage Coffee and Beverages Ltd? कंपनी के फंडामेंटल्स, तेजी के ट्रिगर्स और टार्गेट... #StocksToBuy #StockMarket #Investing #VintageCoffee - facebook.com",Business Standard | facebook.com
361,PCBL,PCBL Chemical Ltd.,Chemicals,309.5,288.9,7.13,5033511,1576298,3.19,False,generic_only,"West Bengal Elections: RPSG Group stocks- PCBL, CESC, FSL rise up to 10%; should you buy? - Business Today | PCBL Chemical Ltd is Rated Sell - Markets Mojo | West Bengal stocks: BJP lead gives RPSG group, textile, railway shares a lift - MSN | CESC, Bandhan Bank, Titagarh Rail, Emami - Strategy for West Bengal stocks | Daily Calls on BTTV - Business Today | PCBL Chemical Consolidated March 2026 Net Sales at Rs 2,066.06 crore, down 1.03% Y-o-Y - Moneycontrol.com",Business Today | Markets Mojo | MSN | Business Today | Moneycontrol.com
428,SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,449.0,422.4,6.3,524470,199750,2.63,False,generic_only,"Top gainers today: valor estate at ₹124.28 up 20.00%, balaji amines at ₹1,455.50 up 9.14%, HFCL at ₹126.04 up 8.63% - Business Upturn",Business Upturn
