rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
273,JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,435.0,413.15,5.29,26718173,2455022,10.88,True,catalyst,"Jubilant Foodworks' domestic Q4 revenue up 6.2% to Rs 1,686 crore - hospitality.economictimes.indiatimes.com",Markets Mojo | scanx.trade | hospitality.economictimes.indiatimes.com | MSN | BusinessLine
285,KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,445.3,414.15,7.52,11433396,3728880,3.07,True,catalyst,Kalyan Jewellers Stock Jumps 6% on Record Revenue Growth - Whalesbook,Markets Mojo | MSN | Whalesbook | Business Standard | ET Now
314,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,298.05,277.15,7.54,4631997,1878223,2.47,True,catalyst,"Mahindra XUV 7XO AX5 vs AX7 Compared: Make That Upgrade! - CarDekho | 4 New Mahindra SUVs Launch Soon - Scorpio N Facelift, Thar 2026, & More - CarLelo",CarDekho | NDTV | Gaadiwaadi.com | The Times of India | CarLelo
