rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
466,TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,407.4,370.3,10.02,15847200,474503,33.4,True,catalyst,"Sugar stocks surge: Balrampur Chini, Triveni Engg soar up to 8%; here's why - Business Standard | Triveni Engineering & Industries Limited Just Beat Revenue By 6.3%: Here's What Analysts Think Will Happen Next - simplywall.st",Markets Mojo | Business Standard | Markets Mojo | simplywall.st | ChiniMandi
407,SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,146.88,139.1,5.59,113739337,10634308,10.7,True,catalyst,RBI approves IHC's acquisition of Sammaan Capital; shares hit 10% upper circuit - MSN | RBI nod to acquisition of Sammaan Capital by Avenir Investment RSC - The Economic Times,Markets Mojo | Upstox | MSN | The Economic Times | The Times of India
327,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,684.2,650.0,5.26,2004724,806256,2.49,True,catalyst,Bajaj Finserv Stock Rises Over 2% After Motilal Oswal Initiates Coverage - NDTV Profit | Bajaj Finserv Ltd stock surges 3% on Motilal Oswal coverage initiation with neutral rating and Rs 19 - AD HOC NEWS,MSN | NDTV Profit | AD HOC NEWS | The Times of India | Business Today
