rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
407,SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,147.71,139.1,6.19,27486426,9652896,2.85,True,catalyst,"RBI approves Avenir acquisition of Sammaan Capital - The Economic Times | RBI Approves IHC's Acquisition Of Sammaan Capital; Shares Hit 10% Upper Circuit - NDTV Profit | Sammaan Capital surges 12% as RBI approves Avenir Investment acquisition, says this - Business Today | RCB sale spurs stocks, Trump's 15-point plan, PM E-DRIVE scheme, Gold's surge in focus, Sammaan Capital stake sale and more - LinkedIn",The Economic Times | NDTV Profit | Markets Mojo | Business Today | LinkedIn
494,WOCKPHARMA,Wockhardt Ltd.,Healthcare,1197.0,1138.8,5.11,1034234,423676,2.44,True,catalyst,"Biocon To Benefit After Eli Lilly Joins Novo Nordisk To Exit European Insulins Market - NDTV Profit | Pharma sector stocks rally sharply today, March 25: Wockhardt surge 7.40%, Senores Pharma up 5.95%, Natco Pharma jumps 3.32% - Business Upturn",Markets Mojo | Markets Mojo | NDTV Profit | MarketWatch | Business Upturn
420,SIGNATURE,Signatureglobal (India) Ltd.,Realty,773.8,741.65,4.33,915096,381269,2.4,True,catalyst,"Nifty Realty soars 4% on easing oil prices; Phoenix Mills, DLF gain upto 5% - Business Standard",InvestyWise | scanx.trade | The Economic Times | Business Standard | InvestyWise
