rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
306,LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,1257.0,1207.5,4.1,1480245,676209,2.19,True,catalyst,ASI Industries Increases Lloyds Metals Stake to 0.014% with Fresh ₹1.78 Cr Investment - scanx.trade,scanx.trade | Equitymaster
488,VOLTAS,Voltas Ltd.,Consumer Durables,1301.2,1245.0,4.51,1982017,942322,2.1,True,catalyst,"Three Stocks To Sell: HDFC Bank, Voltas And IEX | March 24, 2026 - NDTV Profit | 5 Best-rated Split ACs With Inbuilt Stabilizer: Reliable Performance, Even With Unstable Power (March 2026) - Herzindagi",Markets Mojo | Sakshi Education | NDTV Profit | MSN | Herzindagi
329,MCX,Multi Commodity Exchange of India Ltd.,Financial Services,2420.0,2325.0,4.09,6653727,3287347,2.02,True,catalyst,"Gold Price Today: MCX Gold Slides Nearly Rs 2,000 Amid Rising Geopolitical Tensions - NDTV Profit",Markets Mojo | Upstox | InvestyWise | The Financial Express | NDTV Profit
