rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
494,WOCKPHARMA,Wockhardt Ltd.,Healthcare,1716.9,1537.0,11.7,16498559,568748,29.01,True,catalyst,"Wockhardt shares surge over 19% in four sessions, here is why - Upstox",Markets Mojo | Upstox | Business Standard | Dailyhunt | Markets Mojo
479,DBREALTY,Valor Estate Ltd.,Consumer Services,138.0,122.82,12.36,10704396,2953164,3.62,True,catalyst,"Valor Estate shares rocket 30% in just 3 days. What’s behind the stellar surge? - The Economic Times | Raymond Realty Stock Jumps on Strong Q4 Profit, Revenue; Margin Dips - Whalesbook | Bajaj Auto set to announce share buyback today. What to expect? - The Economic Times",Markets Mojo | The Economic Times | Dalal Street Investment Journal | Whalesbook | The Economic Times
350,NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,1413.6,1351.1,4.63,928587,346426,2.68,True,catalyst,CAMS pivot pay off: Non-MF revenue surges 24% – Nuvama sees 14% upside - financialexpress.com | Kissht IPO subscribed 9.5 times on final day of bidding; GMP rises - Business Today | Kissht IPO: Apply or not? Analysts review on OnEMI Technology issue; latest GMP - India IPO | Coforge rallies 10% post Q4: Brokerages see up to 88% upside on strong deal wins and margin push - financialexpress.com,financialexpress.com | Business Today | hrtoday.in | India IPO | financialexpress.com
340,NH,Narayana Hrudayalaya Ltd.,Healthcare,1840.4,1765.0,4.27,576577,217946,2.65,True,catalyst,Dhruv Consultancy Services secures Rs 2.83 Cr NHAI Contract for Independent Engineer Services in Punjab - Sangri Today,Markets Mojo | MSN | Sangri Today | LatestLY | New Haven Register
345,NETWEB,Netweb Technologies India Ltd.,Information Technology,4368.4,4178.1,4.55,3065109,1493849,2.05,True,catalyst,Data Centre Stock: Is Netweb Tech’s Q4 a Disappointment or Still a Strong AI Growth Story? - Trade Brains | Netweb Technologies India Limited Annual Secretarial Compliance Report for FY 2025 - InvestyWise,Markets Mojo | Trade Brains | The Economic Times | MSN | InvestyWise
