rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
231,IRB,IRB Infrastructure Developers Ltd.,Construction,22.84,21.13,8.09,56644534,9746032,5.81,True,catalyst,"IRB Infra, Motherson shares rally up to 13% post Q4 shows; check price targets & more - Business Today | IRB Infrastructure Developers Expects Over 20% Growth In FY27 Toll Revenue; April Traffic Up 8-9% - scanx.trade",Markets Mojo | Business Today | scanx.trade | Moneycontrol.com | Markets Mojo
442,TATACOMM,Tata Communications Ltd.,Telecommunication,1896.3,1775.6,6.8,3191014,573097,5.57,True,catalyst,Tata Communications names Ganapathi Lakshminarayanan as MD and CEO - People Matters Media | Tata Communications Appoints Ganapathi S. Lakshminarayanan as MD & CEO - scanx.trade | Tata Group stock surges 8% on new MD & CEO appointment - Key details - MSN,Markets Mojo | People Matters Media | scanx.trade | MSN | Business Standard
255,IGIL,International Gemmological Institute (India) Ltd.,Services,375.25,355.15,5.66,1447336,321431,4.5,True,catalyst,IGI releases Q4FY26 earnings call audio recording - scanx.trade,Markets Mojo | scanx.trade | Markets Mojo | scanx.trade | Markets Mojo
467,TRITURBINE,Triveni Turbine Ltd.,Capital Goods,705.6,656.0,7.56,8531572,2174437,3.92,True,catalyst,"Earnings Miss: Triveni Turbine Limited Missed EPS By 8.6% And Analysts Are Revising Their Forecasts - simplywall.st | Triveni Turbine, Astral shares make big moves post Q4 earnings; details here - MSN",Markets Mojo | simplywall.st | MSN | scanx.trade | Markets Mojo
408,MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,137.0,131.38,4.28,56355040,17780874,3.17,True,catalyst,"IRB Infra, Motherson shares rally up to 13% post Q4 shows; check price targets & more - Business Today | BUY, SELL or HOLD: Samvardhana Motherson share price in focus after Q4 results; profit surges 46% YoY - Check target - ET Now | Samvardhana Motherson Q4 Review: Motilal Oswal Ups Target Price On Long-Term Growth Outlook — Check Upside - NDTV Profit",Business Standard | Markets Mojo | Business Today | ET Now | NDTV Profit
