rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
362,PGEL,PG Electroplast Ltd.,Consumer Durables,547.45,519.6,5.36,11304952,1723157,6.56,True,catalyst,Board of Railtel Corporation of India recommends Second interim dividend - Business Standard,Markets Mojo | Investing.com India | Whalesbook | Markets Mojo | Business Standard
416,SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,1060.0,987.2,7.37,11999852,4956549,2.42,True,catalyst,Shriram Finance secures USD 76 million co-financing for economic inclusion & rural development - MSN,Markets Mojo | The Times of India | Markets Mojo | Mint | MSN
364,PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,789.6,757.0,4.31,1644141,800287,2.05,True,catalyst,India Home Loan Investors Reject MD Tenure & Capital Hike - Whalesbook,Markets Mojo | Whalesbook | Markets Mojo | The Economic Times | Whalesbook
