rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
355,OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,28.34,25.88,9.51,456246744,69573624,6.56,False,generic_only,Ola Electric shares climb on strong March business performance; how strong is this upside? - MSN | Ola Electric Mobility Sees Exceptional Volume Amid Mixed Price Action - marketsmojo.com | Ola Electric receives PLI certification for its Roadster X+ 4.5 kWh - Business Standard | Ola Electric shares extend gains; EV firm cuts Roadster prices: What short-term investors can do - MSN | Ola Electric Roadster X+ 4.5 kWh Receives PLI Certification - InvestyWise,MSN | marketsmojo.com | Business Standard | MSN | InvestyWise
367,PAGEIND,Page Industries Ltd.,Textiles,33945.0,32620.0,4.06,77315,21831,3.54,False,generic_only,"Page Industries Ltd Sees Sharp Open Interest Surge Amid Bullish Momentum - marketsmojo.com | Page Industries Ltd Technical Momentum Shifts Amid Bearish Signals - marketsmojo.com | Bizotic Commercial Nets ₹5.74 Cr from Warrant Conversion - Whalesbook | Stock List: Research Stocks from Around the World - GuruFocus | When Will Loop Industries, Inc. (NASDAQ:LOOP) Breakeven? - simplywall.st",marketsmojo.com | marketsmojo.com | Whalesbook | GuruFocus | simplywall.st
