rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
236,INDGN,Indegene Ltd.,Healthcare,464.35,435.0,6.75,1196127,410747,2.91,True,catalyst,NSE announces collaboration with Indian Gas Exchange to launch exchange traded derivatives - The Economic Times | NSE Announces Collaboration with Indian Gas Exchange Limited (“IGX”) to launch Derivatives based on IGX’s ... - MillenniumPost,Markets Mojo | The Economic Times | Upstox | MillenniumPost | moneycontrol.com
409,SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,155.03,149.01,4.04,2779815,1003953,2.77,True,catalyst,Atlantic Sapphire: secures USD 10 million bridge loan as refinancing talks continue - SalmonBusiness | Atlantic Sapphire Secures $10 Million Bridge Loan Securing Near-term Operations - Seafoodnews | GoldArc expands Leonora South footprint with acquisition - grafa.com,Markets Mojo | Markets Mojo | SalmonBusiness | Seafoodnews | grafa.com
230,INOXINDIA,INOX India Ltd.,Capital Goods,1245.4,1182.0,5.36,263715,114856,2.3,True,catalyst,"Inox Clean Energy Acquires 1,337 MW Vibrant Energy Portfolio in Rs 5,000 Crore Deal, Strengthening C&I Renewable Footprint - SolarQuarter | Brookfield India REIT Appoints Shashank Jain as CEO Effective July 1 - Indian Retailer",Markets Mojo | Markets Mojo | SolarQuarter | Whalesbook | Indian Retailer
459,TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,612.55,571.9,7.11,1691976,760306,2.23,True,catalyst,"Texmaco Rail: JSW Group Order for Freight Wagons - Rediff MoneyWiz | Texmaco Rail Secures ₹421 Cr JSW Order, Boosting India's Freight Wagons - Whalesbook",Markets Mojo | Markets Mojo | MarketSmith India | Rediff MoneyWiz | Whalesbook
471,UPL,UPL Ltd.,Chemicals,593.15,567.95,4.44,5317081,2522138,2.11,True,catalyst,UPL Wins Triple Global Recognition at Vision Awards 2024-25 for Excellence in Annual Reporting - global-agriculture.com,Markets Mojo | Machine Maker | scanx.trade | Markets Mojo | global-agriculture.com
431,SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,4587.2,4375.5,4.84,166789,80559,2.07,True,catalyst,"Buy, sell or hold: HDFC Bank, NALCO, Shriram Finance, Lodha, Tata Tech, Suzlon, Colgate, and more — Ask Profit - MSN",Markets Mojo | scanx.trade | Moneylife | MSN
383,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,9826.0,9300.0,5.66,47120,23068,2.04,True,catalyst,Procter & Gamble (PG) Stock: Steady Dividend & Performance Analysis - News and Statistics - IndexBox | Procter and Gamble stock price forecast for 2040: Global expansion and steady earnings growth support $350 outlook - Traders Union,Markets Mojo | AD HOC NEWS | IndexBox | MarketBeat | Traders Union
394,RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,503.05,466.6,7.81,747448,370878,2.02,True,catalyst,"Ramkrishna Forgings Jumps 8% After Launching ₹249 Cr Casting Line - Trade Brains | Ramkrishna Forgings Commences Commercial Production of Horizontal Casting Line with 28,800 Metric Tonnes Annual Capacity - scanx.trade",Markets Mojo | Trade Brains | scanx.trade | Markets Mojo | EquityBulls
