rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
228,IFCI,IFCI Ltd.,Financial Services,63.88,61.09,4.57,46841098,16578966,2.83,True,catalyst,Blue Coast Hotels Reports FY26 Net Loss; Audited Results Published in Newspapers - scanx.trade | NSE's upcoming IPO: Which investors will offload their shares? - NewsBytes,scanx.trade | NewsBytes
376,POLYCAB,Polycab India Ltd.,Capital Goods,9003.0,8415.5,6.98,1084637,427858,2.54,True,catalyst,"Polycab India: Q4 revenue, margins beat pushes FMEG stock to record high; should you buy? - MSN | Polycab India Hosts Earnings Conference Call for Q4FY26 with Investors and Analysts - scanx.trade | Polycab India's expenses jump over 29 pc in Q4, margins contract - Investment Guru India",Markets Mojo | MSN | scanx.trade | Investment Guru India | Business Today
288,KEC,Kec International Ltd.,Construction,612.45,587.3,4.28,3767976,1604168,2.35,True,catalyst,"Infra Stock Jumps 4% After Securing Orders Worth ₹1,002 Cr Across Segments By Trade Brains - Investing.com India",Markets Mojo | Markets Mojo | The Economic Times | MSN | Investing.com India
