rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
485,VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,1342.6,1275.0,5.3,1257895,202801,6.2,True,catalyst,Actor Vijay Becomes Tamil Nadu CM | Wins Hearts Across India | Vijay’s Emotional CM Speech Goes - Business Today,scanx.trade | Markets Mojo | TipRanks | Business Standard | Business Today
349,NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,84.31,81.05,4.02,3136498,888490,3.53,True,catalyst,Niva Bupa Health Insurance jumps 10% on posting healthy Q4 show - Business Standard,Markets Mojo | Equitymaster | Business Standard | Markets Mojo | financialexpress.com
260,JBMA,JBM Auto Ltd.,Automobile and Auto Components,681.65,649.0,5.03,3113866,968929,3.21,True,catalyst,JBM Auto shares rally over 7% in weak market ahead of Q4 earnings; details for shareholders - Upstox,Upstox | Markets Mojo | Trade Brains | CNBC TV18 | Business Standard
444,TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1271.0,1176.6,8.02,3672201,1442372,2.55,True,catalyst,"Tata Consumer Products shares rise 7% to all-time high on upbeat revenue forecast - Moneycontrol.com | Tata Consumer Q4 Profit Soars, But High Valuation Faces Cost Pressure - Whalesbook",Markets Mojo | Business Standard | Moneycontrol.com | Whalesbook | scanx.trade
