rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
274,JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,735.75,697.5,5.48,3384928,172486,19.62,True,catalyst,"Exchange Seeks Clarification From Jubilant Ingrevia After Surge in Trading Volume - TipRanks | Axis Bank Q4 results preview: Profit, NIM, dividend, fund raise on radar - Business Standard",InvestyWise | TipRanks | Business Standard | InvestyWise
490,WELCORP,Welspun Corp Ltd.,Capital Goods,1204.1,1148.0,4.89,3972135,759974,5.23,True,catalyst,"Welspun Corp Ltd soars 6.34%, rises for third straight session - Business Standard",Business Standard | Markets Mojo | Markets Mojo | Markets Mojo | Business Standard
