rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_catalyst_news,classification,headlines,news_source
230,INOXINDIA,INOX India Ltd.,Capital Goods,1468.6,1403.0,4.68,1379554,193272,7.14,True,catalyst,"Tata Power, Suzlon Energy, NTPC, CESC, Power Grid, IEX, Inox Wind: Q4 results preview - MSN",Markets Mojo | Markets Mojo | Business Standard | Equitymaster | MSN
490,WELCORP,Welspun Corp Ltd.,Capital Goods,1052.65,1010.0,4.22,1596527,516639,3.09,True,catalyst,Welspun Corp Limited Files NCD Specifications with BSE Under SEBI Regulations - scanx.trade,Markets Mojo | scanx.trade | Markets Mojo | Markets Mojo | Markets Mojo
457,THERMAX,Thermax Ltd.,Capital Goods,4085.0,3860.0,5.83,536932,265453,2.02,True,catalyst,"Thermax Ltd soars 5.08%, up for fifth straight session - Business Standard | Thermax Limited Announces NCLT Hearing for Buildtech Products Merger on May 8, 2026 - scanx.trade",Business Standard | Markets Mojo | Markets Mojo | scanx.trade | Business Standard
